"old_file","new_file","visible_content"
"assets/images/tea-room/IMG_0696.avif","assets/images/tea-room/tea-table-setup-01.avif","Tea table and teaware"
"assets/images/tea-room/IMG_0697.avif","assets/images/tea-room/tea-pouring-detail-02.avif","Close view of tea being poured"
"assets/images/tea-room/IMG_0698.avif","assets/images/tea-room/tea-host-pouring-01.avif","Tea host pouring tea"
"assets/images/tea-room/IMG_0699.avif","assets/images/tea-room/tea-cup-detail-01.avif","Tea cup held above teaware"
"assets/images/tea-room/IMG_0700.avif","assets/images/tea-room/tea-host-ceremony-01.avif","Tea host during ceremony"
"assets/images/tea-room/IMG_3555.avif","assets/images/tea-room/white-tea-set-01.avif","White tea set on wooden tray"
"assets/images/tea-room/IMG_9567.avif","assets/images/tea-room/tea-table-seating-01.avif","Tea table with floor seating"
"assets/images/tea-room/IMG_9568.avif","assets/images/tea-room/room-wide-01.avif","Wide view of tea room"
"assets/images/tea-room/IMG_9569.avif","assets/images/tea-room/room-wide-02.avif","Wide view of tea room"
"assets/images/tea-room/IMG_9570.avif","assets/images/tea-room/teaware-display-room-01.avif","Tea room with teaware display"
"assets/images/tea-room/IMG_9571.avif","assets/images/tea-room/tea-table-garden-view-01.avif","Tea table facing garden doors"
"assets/images/tea-room/IMG_9573.avif","assets/images/tea-room/armchair-and-screen-01.avif","Wooden armchair beside folding screen"
"assets/images/tea-room/IMG_9574.avif","assets/images/tea-room/table-flower-arrangement-01.avif","Flower arrangement on tea table"
"assets/images/tea-room/IMG_9575.avif","assets/images/tea-room/tea-table-detail-01.avif","Tea table and armchair detail"
"assets/images/tea-room/IMG_9576.avif","assets/images/tea-room/teaware-display-room-02.avif","Tea room with teaware display"
"assets/images/tea-room/IMG_9577.avif","assets/images/tea-room/hanging-kettle-01.avif","Hanging kettle and tea tray"
"assets/images/tea-room/IMG_9578.avif","assets/images/tea-room/tea-tasting-bowls-01.avif","Tea tasting bowls on wooden tray"
"assets/images/tea-room/IMG_9579.avif","assets/images/tea-room/tea-cake-display-01.avif","Pressed tea cakes on display"
"assets/images/tea-room/IMG_9580.avif","assets/images/tea-room/clay-teapots-01.avif","Clay teapots on shelf"
"assets/images/tea-room/IMG_9581.avif","assets/images/tea-room/porcelain-tea-set-01.avif","Porcelain tea set on shelf"
"assets/images/tea-room/IMG_9582.avif","assets/images/tea-room/tea-boxes-01.avif","Boxed tea on shelf"
"assets/images/tea-room/IMG_9583.avif","assets/images/tea-room/white-teaware-shelf-01.avif","White teaware arranged on shelf"
"assets/images/tea-room/IMG_9585.avif","assets/images/tea-room/tea-tools-01.avif","Tea tools on wooden stand"
"assets/images/tea-room/IMG_9586.avif","assets/images/tea-room/room-garden-view-01.avif","Tea room facing garden doors"
